District,Transaction_Year,Quarters,Transaction_Type,Transaction_Count,Transaction_Amount
khordha,2021,4,TOTAL,94505879,135122128258.68542
mumbai suburban,2021,4,TOTAL,92733033,134616103622.6073
bengaluru urban,2022,1,TOTAL,648380838,837938769153.0938
pune,2022,1,TOTAL,424149132,508475101454.5797
hyderabad,2022,1,TOTAL,372711414,661512502141.0775
jaipur,2022,1,TOTAL,262950613,434507898653.22876
bhopal,2022,1,TOTAL,159892411,221096758835.27948
central delhi,2022,1,TOTAL,128309915,198072597274.588
rangareddy,2022,1,TOTAL,127675017,216609881380.40106
medchal malkajgiri,2022,1,TOTAL,110893187,185168270983.38605
mumbai suburban,2022,1,TOTAL,104595313,148080835860.6061
khordha,2022,1,TOTAL,104052705,152745328927.4852
bengaluru urban,2022,2,TOTAL,786978117,1013933810932.2711
pune,2022,2,TOTAL,520321567,620747087392.5974
hyderabad,2022,2,TOTAL,446470234,775908693266.7238
jaipur,2022,2,TOTAL,314511010,497492495896.22046
bhopal,2022,2,TOTAL,185588829,255910395858.58392
rangareddy,2022,2,TOTAL,161888380,267052522620.51453
central delhi,2022,2,TOTAL,159034619,232911858055.0848
medchal malkajgiri,2022,2,TOTAL,134114768,221257316347.71973
mumbai suburban,2022,2,TOTAL,125227570,172590494011.93738
khordha,2022,2,TOTAL,124986765,174299128204.99298
hyderabad,2022,3,TOTAL,1018658174,1586047443981.7903
bengaluru urban,2022,3,TOTAL,738035161,930886457807.8191
pune,2022,3,TOTAL,505018506,549531791371.8348
jaipur,2022,3,TOTAL,377469909,564818218571.2906
central delhi,2022,3,TOTAL,243139962,327191972497.86694
mumbai suburban,2022,3,TOTAL,197724164,247678975470.48975
patna,2022,3,TOTAL,188665398,298860414441.2887
khordha,2022,3,TOTAL,182514532,234713995654.54218
chhindwara,2022,3,TOTAL,169367916,236429180484.7117
rangareddy,2022,3,TOTAL,169029273,272598081405.12262
hyderabad,2022,4,TOTAL,1133829812,1753799022390.8733
bengaluru urban,2022,4,TOTAL,876647100,1092079302011.8888
pune,2022,4,TOTAL,544687754,590334491443.0927
jaipur,2022,4,TOTAL,404922774,635458549842.8215
central delhi,2022,4,TOTAL,280960656,386107883617.5307
mumbai suburban,2022,4,TOTAL,248827345,310278216439.5166
chhindwara,2022,4,TOTAL,245710341,350638062974.85736
patna,2022,4,TOTAL,217434851,352393762150.454
khordha,2022,4,TOTAL,208260666,268479766618.40594
rangareddy,2022,4,TOTAL,191136402,295773661437.69385
