States,District,Transaction_Year,Quarters,Transaction_Type,Transaction_Count,Transaction_Amount
andhra-pradesh,west godavari,2020,1,TOTAL,5919670,12995834340.716236
andhra-pradesh,kurnool,2020,1,TOTAL,8246869,17022710311.813046
andhra-pradesh,chittoor,2020,1,TOTAL,13257740,23441848567.344193
andhra-pradesh,guntur,2020,1,TOTAL,11493331,22992734620.64621
andhra-pradesh,krishna,2020,1,TOTAL,12175289,24481702770.71471
andhra-pradesh,east godavari,2020,2,TOTAL,13130334,26319906327.32029
andhra-pradesh,srikakulam,2020,2,TOTAL,6425515,12153650076.875832
andhra-pradesh,spsr nellore,2020,2,TOTAL,9454274,20665376460.772232
andhra-pradesh,vizianagaram,2020,2,TOTAL,6690313,12819344389.545382
andhra-pradesh,visakhapatnam,2020,2,TOTAL,25300401,48293889917.41437
andhra-pradesh,prakasam,2020,2,TOTAL,8844580,19846026726.904335
andhra-pradesh,anantapur,2020,2,TOTAL,10473739,22094006659.412506
andhra-pradesh,ysr,2020,2,TOTAL,8033609,19597207268.132023
andhra-pradesh,west godavari,2020,2,TOTAL,7273096,16585866855.159784
andhra-pradesh,kurnool,2020,2,TOTAL,9821381,22419372061.805172
andhra-pradesh,chittoor,2020,2,TOTAL,14848197,27361300300.01902
andhra-pradesh,guntur,2020,2,TOTAL,12308707,27463593607.839108
andhra-pradesh,krishna,2020,2,TOTAL,12313709,26964149095.366295
andhra-pradesh,east godavari,2020,3,TOTAL,17972431,39300043804.75851
andhra-pradesh,srikakulam,2020,3,TOTAL,8286289,18029574581.337425
andhra-pradesh,spsr nellore,2020,3,TOTAL,16468209,39128324534.03022
andhra-pradesh,vizianagaram,2020,3,TOTAL,8236703,17567816576.501263
andhra-pradesh,visakhapatnam,2020,3,TOTAL,34421299,67628440368.111465
andhra-pradesh,prakasam,2020,3,TOTAL,12266310,31221704852.44969
andhra-pradesh,anantapur,2020,3,TOTAL,14447683,34102037972.65785
andhra-pradesh,ysr,2020,3,TOTAL,11934653,32037007334.12973
andhra-pradesh,west godavari,2020,3,TOTAL,10412351,25408608725.754295
andhra-pradesh,kurnool,2020,3,TOTAL,13243292,32529351107.17173
andhra-pradesh,chittoor,2020,3,TOTAL,20501863,42811566246.16463
andhra-pradesh,guntur,2020,3,TOTAL,17601395,42531195809.75448
andhra-pradesh,krishna,2020,3,TOTAL,19110457,44788458672.084435
andhra-pradesh,east godavari,2020,4,TOTAL,25989490,58732615663.118416
andhra-pradesh,srikakulam,2020,4,TOTAL,11092184,25222520275.27882
andhra-pradesh,spsr nellore,2020,4,TOTAL,20934374,49115443663.37911
andhra-pradesh,vizianagaram,2020,4,TOTAL,10580824,24094847668.445065
andhra-pradesh,visakhapatnam,2020,4,TOTAL,46551467,91879823025.40399
