States,Pincodes,Transaction_Year,Quarters,registeredUsers
arunachal-pradesh,tawang,2020,3,9880
arunachal-pradesh,west siang,2020,3,8196
arunachal-pradesh,namsai,2020,3,7622
arunachal-pradesh,lower dibang valley,2020,3,6844
arunachal-pradesh,lower subansiri,2020,3,6404
arunachal-pradesh,papum pare,2020,4,24414
arunachal-pradesh,west kameng,2020,4,21845
arunachal-pradesh,changlang,2020,4,15540
arunachal-pradesh,east siang,2020,4,14955
arunachal-pradesh,lohit,2020,4,11382
arunachal-pradesh,tawang,2020,4,10964
arunachal-pradesh,west siang,2020,4,9130
arunachal-pradesh,namsai,2020,4,8391
arunachal-pradesh,lower dibang valley,2020,4,7743
arunachal-pradesh,lower subansiri,2020,4,7262
arunachal-pradesh,papum pare,2021,1,26578
arunachal-pradesh,west kameng,2021,1,23660
arunachal-pradesh,changlang,2021,1,16942
arunachal-pradesh,east siang,2021,1,16191
arunachal-pradesh,lohit,2021,1,12442
arunachal-pradesh,tawang,2021,1,11916
arunachal-pradesh,west siang,2021,1,9875
arunachal-pradesh,namsai,2021,1,9066
arunachal-pradesh,lower dibang valley,2021,1,8458
arunachal-pradesh,lower subansiri,2021,1,7917
arunachal-pradesh,papum pare,2021,2,28553
arunachal-pradesh,west kameng,2021,2,25349
arunachal-pradesh,changlang,2021,2,18141
arunachal-pradesh,east siang,2021,2,17388
arunachal-pradesh,lohit,2021,2,13401
arunachal-pradesh,tawang,2021,2,12890
arunachal-pradesh,west siang,2021,2,10617
arunachal-pradesh,namsai,2021,2,9711
arunachal-pradesh,lower dibang valley,2021,2,9156
arunachal-pradesh,lower subansiri,2021,2,8470
arunachal-pradesh,papum pare,2021,3,30734
arunachal-pradesh,west kameng,2021,3,27265
arunachal-pradesh,changlang,2021,3,19520
arunachal-pradesh,east siang,2021,3,18855
arunachal-pradesh,lohit,2021,3,14519
arunachal-pradesh,tawang,2021,3,14068
arunachal-pradesh,west siang,2021,3,11487
arunachal-pradesh,namsai,2021,3,10467
arunachal-pradesh,lower dibang valley,2021,3,9990
arunachal-pradesh,lower subansiri,2021,3,9111
arunachal-pradesh,papum pare,2021,4,32931
arunachal-pradesh,west kameng,2021,4,29128
arunachal-pradesh,changlang,2021,4,20914
arunachal-pradesh,east siang,2021,4,20261
arunachal-pradesh,lohit,2021,4,15589
arunachal-pradesh,tawang,2021,4,15154
arunachal-pradesh,west siang,2021,4,12358
arunachal-pradesh,namsai,2021,4,11211
arunachal-pradesh,lower dibang valley,2021,4,10752
arunachal-pradesh,lower subansiri,2021,4,9729
arunachal-pradesh,papum pare,2022,1,34915
arunachal-pradesh,west kameng,2022,1,30912
arunachal-pradesh,changlang,2022,1,22258
arunachal-pradesh,east siang,2022,1,21601
arunachal-pradesh,lohit,2022,1,16600
arunachal-pradesh,tawang,2022,1,16282
arunachal-pradesh,west siang,2022,1,13172
arunachal-pradesh,namsai,2022,1,11905
arunachal-pradesh,lower dibang valley,2022,1,11479
arunachal-pradesh,lower subansiri,2022,1,10306
arunachal-pradesh,papum pare,2022,2,36914
arunachal-pradesh,west kameng,2022,2,32620
arunachal-pradesh,changlang,2022,2,23506
arunachal-pradesh,east siang,2022,2,22850
arunachal-pradesh,lohit,2022,2,17531
arunachal-pradesh,tawang,2022,2,17259
arunachal-pradesh,west siang,2022,2,13915
arunachal-pradesh,namsai,2022,2,12565
arunachal-pradesh,lower dibang valley,2022,2,12124
arunachal-pradesh,lower subansiri,2022,2,10908
arunachal-pradesh,papum pare,2022,3,39026
arunachal-pradesh,west kameng,2022,3,34393
arunachal-pradesh,changlang,2022,3,24830
arunachal-pradesh,east siang,2022,3,24093
arunachal-pradesh,lohit,2022,3,18476
arunachal-pradesh,tawang,2022,3,18186
arunachal-pradesh,west siang,2022,3,14676
arunachal-pradesh,namsai,2022,3,13227
arunachal-pradesh,lower dibang valley,2022,3,12755
arunachal-pradesh,lower subansiri,2022,3,11498
arunachal-pradesh,papum pare,2022,4,40977
arunachal-pradesh,west kameng,2022,4,36205
arunachal-pradesh,changlang,2022,4,26077
arunachal-pradesh,east siang,2022,4,25161
arunachal-pradesh,lohit,2022,4,19310
arunachal-pradesh,tawang,2022,4,19033
arunachal-pradesh,west siang,2022,4,15408
arunachal-pradesh,namsai,2022,4,13837
arunachal-pradesh,lower dibang valley,2022,4,13271
arunachal-pradesh,lower subansiri,2022,4,12089
assam,kamrup metropolitan,2018,1,7209
assam,dibrugarh,2018,1,5507
assam,barpeta,2018,1,5418
assam,nagaon,2018,1,4731
assam,cachar,2018,1,4571
assam,sonitpur,2018,1,4526
assam,jorhat,2018,1,4127
assam,tinsukia,2018,1,4122
assam,kamrup,2018,1,3639
assam,dhubri,2018,1,3517
assam,kamrup metropolitan,2018,2,10189
assam,dibrugarh,2018,2,7914
assam,barpeta,2018,2,7685
assam,nagaon,2018,2,6711
assam,cachar,2018,2,6411
assam,sonitpur,2018,2,6375
assam,tinsukia,2018,2,5954
assam,jorhat,2018,2,5881
assam,kamrup,2018,2,5216
assam,dhubri,2018,2,5010
assam,kamrup metropolitan,2018,3,13555
assam,barpeta,2018,3,10377
assam,cachar,2018,3,10057
assam,dibrugarh,2018,3,8633
assam,nagaon,2018,3,8582
assam,sonitpur,2018,3,8312
