States,District,registeredUsers,appOpens,Transaction_Year,Quarters
arunachal-pradesh,kamle,22,0,2018,1
arunachal-pradesh,upper siang,301,0,2018,1
arunachal-pradesh,kurung kumey,97,0,2018,1
arunachal-pradesh,siang,192,0,2018,1
arunachal-pradesh,kra daadi,88,0,2018,1
arunachal-pradesh,changlang,1208,0,2018,1
arunachal-pradesh,pakke kessang,39,0,2018,1
arunachal-pradesh,east siang,1803,0,2018,1
arunachal-pradesh,upper subansiri,572,0,2018,1
arunachal-pradesh,tawang,1525,0,2018,1
arunachal-pradesh,namsai,737,0,2018,1
arunachal-pradesh,lower subansiri,724,0,2018,2
arunachal-pradesh,tirap,856,0,2018,2
arunachal-pradesh,papum pare,11418,0,2018,2
arunachal-pradesh,anjaw,410,0,2018,2
arunachal-pradesh,lower siang,494,0,2018,2
arunachal-pradesh,dibang valley,112,0,2018,2
arunachal-pradesh,west kameng,3442,0,2018,2
arunachal-pradesh,shi yomi,80,0,2018,2
arunachal-pradesh,east kameng,343,0,2018,2
arunachal-pradesh,lohit,1898,0,2018,2
arunachal-pradesh,lepa rada,318,0,2018,2
arunachal-pradesh,lower dibang valley,893,0,2018,2
arunachal-pradesh,longding,412,0,2018,2
arunachal-pradesh,west siang,1224,0,2018,2
arunachal-pradesh,kamle,37,0,2018,2
arunachal-pradesh,upper siang,481,0,2018,2
arunachal-pradesh,kurung kumey,153,0,2018,2
arunachal-pradesh,siang,293,0,2018,2
arunachal-pradesh,kra daadi,144,0,2018,2
arunachal-pradesh,changlang,2014,0,2018,2
arunachal-pradesh,pakke kessang,66,0,2018,2
arunachal-pradesh,east siang,2646,0,2018,2
arunachal-pradesh,upper subansiri,883,0,2018,2
arunachal-pradesh,tawang,2266,0,2018,2
arunachal-pradesh,namsai,1276,0,2018,2
arunachal-pradesh,lower subansiri,1033,0,2018,3
arunachal-pradesh,tirap,1226,0,2018,3
arunachal-pradesh,papum pare,16009,0,2018,3
arunachal-pradesh,anjaw,542,0,2018,3
arunachal-pradesh,lower siang,717,0,2018,3
arunachal-pradesh,dibang valley,145,0,2018,3
arunachal-pradesh,west kameng,4765,0,2018,3
arunachal-pradesh,shi yomi,118,0,2018,3
arunachal-pradesh,east kameng,521,0,2018,3
arunachal-pradesh,lohit,2612,0,2018,3
arunachal-pradesh,lepa rada,431,0,2018,3
arunachal-pradesh,lower dibang valley,1286,0,2018,3
arunachal-pradesh,longding,644,0,2018,3
arunachal-pradesh,west siang,1652,0,2018,3
arunachal-pradesh,kamle,65,0,2018,3
arunachal-pradesh,upper siang,646,0,2018,3
arunachal-pradesh,kurung kumey,222,0,2018,3
arunachal-pradesh,siang,373,0,2018,3
arunachal-pradesh,kra daadi,190,0,2018,3
arunachal-pradesh,changlang,2889,0,2018,3
arunachal-pradesh,pakke kessang,103,0,2018,3
arunachal-pradesh,east siang,3590,0,2018,3
arunachal-pradesh,upper subansiri,1169,0,2018,3
arunachal-pradesh,tawang,3112,0,2018,3
arunachal-pradesh,namsai,1862,0,2018,3
arunachal-pradesh,lower subansiri,1459,0,2018,4
arunachal-pradesh,tirap,1684,0,2018,4
arunachal-pradesh,papum pare,21342,0,2018,4
arunachal-pradesh,anjaw,744,0,2018,4
arunachal-pradesh,lower siang,936,0,2018,4
arunachal-pradesh,dibang valley,178,0,2018,4
arunachal-pradesh,west kameng,6492,0,2018,4
arunachal-pradesh,shi yomi,144,0,2018,4
arunachal-pradesh,east kameng,691,0,2018,4
arunachal-pradesh,lohit,3588,0,2018,4
arunachal-pradesh,lepa rada,548,0,2018,4
arunachal-pradesh,lower dibang valley,1827,0,2018,4
arunachal-pradesh,longding,923,0,2018,4
arunachal-pradesh,west siang,2117,0,2018,4
arunachal-pradesh,kamle,109,0,2018,4
arunachal-pradesh,upper siang,868,0,2018,4
arunachal-pradesh,kurung kumey,321,0,2018,4
arunachal-pradesh,siang,483,0,2018,4
arunachal-pradesh,kra daadi,255,0,2018,4
arunachal-pradesh,changlang,4036,0,2018,4
arunachal-pradesh,pakke kessang,138,0,2018,4
arunachal-pradesh,east siang,4813,0,2018,4
arunachal-pradesh,upper subansiri,1576,0,2018,4
arunachal-pradesh,tawang,4085,0,2018,4
arunachal-pradesh,namsai,2495,0,2018,4
arunachal-pradesh,lower subansiri,1879,0,2019,1
arunachal-pradesh,tirap,2082,0,2019,1
arunachal-pradesh,papum pare,26298,0,2019,1
arunachal-pradesh,anjaw,934,0,2019,1
arunachal-pradesh,lower siang,1123,0,2019,1
arunachal-pradesh,dibang valley,211,0,2019,1
arunachal-pradesh,west kameng,8115,0,2019,1
arunachal-pradesh,shi yomi,186,0,2019,1
arunachal-pradesh,east kameng,876,0,2019,1
arunachal-pradesh,lohit,4416,0,2019,1
