States,District,Transaction_Year,Quarters,registeredUsers
arunachal-pradesh,lohit,2018,4,3588
arunachal-pradesh,namsai,2018,4,2495
arunachal-pradesh,west siang,2018,4,2117
arunachal-pradesh,lower dibang valley,2018,4,1827
arunachal-pradesh,tirap,2018,4,1684
arunachal-pradesh,papum pare,2019,1,26298
arunachal-pradesh,west kameng,2019,1,8115
arunachal-pradesh,east siang,2019,1,5899
arunachal-pradesh,changlang,2019,1,5210
arunachal-pradesh,tawang,2019,1,5023
arunachal-pradesh,lohit,2019,1,4416
arunachal-pradesh,namsai,2019,1,3153
arunachal-pradesh,west siang,2019,1,2656
arunachal-pradesh,lower dibang valley,2019,1,2314
arunachal-pradesh,tirap,2019,1,2082
arunachal-pradesh,papum pare,2019,2,32800
arunachal-pradesh,west kameng,2019,2,9782
arunachal-pradesh,east siang,2019,2,7319
arunachal-pradesh,changlang,2019,2,6884
arunachal-pradesh,tawang,2019,2,5908
arunachal-pradesh,lohit,2019,2,5485
arunachal-pradesh,namsai,2019,2,3914
arunachal-pradesh,west siang,2019,2,3393
arunachal-pradesh,lower dibang valley,2019,2,2842
arunachal-pradesh,tirap,2019,2,2697
arunachal-pradesh,papum pare,2019,3,38845
arunachal-pradesh,west kameng,2019,3,11186
arunachal-pradesh,east siang,2019,3,8571
arunachal-pradesh,changlang,2019,3,8145
arunachal-pradesh,tawang,2019,3,6553
arunachal-pradesh,lohit,2019,3,6421
arunachal-pradesh,namsai,2019,3,4563
arunachal-pradesh,west siang,2019,3,4101
arunachal-pradesh,lower dibang valley,2019,3,3398
arunachal-pradesh,tirap,2019,3,3099
arunachal-pradesh,papum pare,2019,4,44746
arunachal-pradesh,west kameng,2019,4,12562
arunachal-pradesh,east siang,2019,4,9859
arunachal-pradesh,changlang,2019,4,9662
arunachal-pradesh,lohit,2019,4,7386
arunachal-pradesh,tawang,2019,4,7303
arunachal-pradesh,namsai,2019,4,5190
arunachal-pradesh,west siang,2019,4,4773
arunachal-pradesh,lower dibang valley,2019,4,3944
arunachal-pradesh,tirap,2019,4,3605
arunachal-pradesh,papum pare,2020,1,51342
arunachal-pradesh,west kameng,2020,1,13983
arunachal-pradesh,east siang,2020,1,11298
arunachal-pradesh,changlang,2020,1,11262
arunachal-pradesh,lohit,2020,1,8454
arunachal-pradesh,tawang,2020,1,8048
arunachal-pradesh,namsai,2020,1,6029
arunachal-pradesh,west siang,2020,1,5757
arunachal-pradesh,lower dibang valley,2020,1,4650
arunachal-pradesh,lower subansiri,2020,1,4351
arunachal-pradesh,papum pare,2020,2,59968
arunachal-pradesh,west kameng,2020,2,15766
arunachal-pradesh,changlang,2020,2,14036
arunachal-pradesh,east siang,2020,2,13601
arunachal-pradesh,lohit,2020,2,10154
arunachal-pradesh,tawang,2020,2,8993
arunachal-pradesh,namsai,2020,2,7426
arunachal-pradesh,west siang,2020,2,7239
arunachal-pradesh,lower dibang valley,2020,2,5782
arunachal-pradesh,lower subansiri,2020,2,5392
arunachal-pradesh,papum pare,2020,3,69419
arunachal-pradesh,west kameng,2020,3,17636
arunachal-pradesh,changlang,2020,3,16385
arunachal-pradesh,east siang,2020,3,15921
arunachal-pradesh,lohit,2020,3,11755
arunachal-pradesh,tawang,2020,3,9944
arunachal-pradesh,west siang,2020,3,8623
arunachal-pradesh,namsai,2020,3,8553
arunachal-pradesh,lower dibang valley,2020,3,6799
arunachal-pradesh,lower subansiri,2020,3,6456
arunachal-pradesh,papum pare,2020,4,77936
arunachal-pradesh,west kameng,2020,4,19464
arunachal-pradesh,changlang,2020,4,18203
arunachal-pradesh,east siang,2020,4,17822
arunachal-pradesh,lohit,2020,4,13126
arunachal-pradesh,tawang,2020,4,10909
arunachal-pradesh,west siang,2020,4,9911
arunachal-pradesh,namsai,2020,4,9437
arunachal-pradesh,lower dibang valley,2020,4,7693
arunachal-pradesh,lower subansiri,2020,4,7388
arunachal-pradesh,papum pare,2021,1,84715
arunachal-pradesh,west kameng,2021,1,21027
arunachal-pradesh,changlang,2021,1,19716
arunachal-pradesh,east siang,2021,1,19342
arunachal-pradesh,lohit,2021,1,14231
arunachal-pradesh,tawang,2021,1,11778
arunachal-pradesh,west siang,2021,1,10836
arunachal-pradesh,namsai,2021,1,10242
arunachal-pradesh,lower dibang valley,2021,1,8402
arunachal-pradesh,lower subansiri,2021,1,8044
arunachal-pradesh,papum pare,2021,2,90871
arunachal-pradesh,west kameng,2021,2,22625
arunachal-pradesh,changlang,2021,2,21404
arunachal-pradesh,east siang,2021,2,20817
arunachal-pradesh,lohit,2021,2,15360
arunachal-pradesh,tawang,2021,2,12636
arunachal-pradesh,west siang,2021,2,11657
arunachal-pradesh,namsai,2021,2,11111
arunachal-pradesh,lower dibang valley,2021,2,9094
arunachal-pradesh,lower subansiri,2021,2,8685
arunachal-pradesh,papum pare,2021,3,97854
arunachal-pradesh,west kameng,2021,3,24489
arunachal-pradesh,changlang,2021,3,23328
arunachal-pradesh,east siang,2021,3,22538
arunachal-pradesh,lohit,2021,3,16680
arunachal-pradesh,tawang,2021,3,13650
arunachal-pradesh,west siang,2021,3,12616
arunachal-pradesh,namsai,2021,3,12140
arunachal-pradesh,lower dibang valley,2021,3,9920
arunachal-pradesh,lower subansiri,2021,3,9451
arunachal-pradesh,papum pare,2021,4,104806
arunachal-pradesh,west kameng,2021,4,26237
arunachal-pradesh,changlang,2021,4,25155
arunachal-pradesh,east siang,2021,4,24208
arunachal-pradesh,lohit,2021,4,17980
arunachal-pradesh,tawang,2021,4,14665
arunachal-pradesh,west siang,2021,4,13555
arunachal-pradesh,namsai,2021,4,13092
arunachal-pradesh,lower dibang valley,2021,4,10679
arunachal-pradesh,lower subansiri,2021,4,10187
arunachal-pradesh,papum pare,2022,1,111271
arunachal-pradesh,west kameng,2022,1,27860
arunachal-pradesh,changlang,2022,1,26904
arunachal-pradesh,east siang,2022,1,25763
arunachal-pradesh,lohit,2022,1,19214
arunachal-pradesh,tawang,2022,1,15589
arunachal-pradesh,west siang,2022,1,14420
arunachal-pradesh,namsai,2022,1,14054
arunachal-pradesh,lower dibang valley,2022,1,11401
arunachal-pradesh,lower subansiri,2022,1,10854
arunachal-pradesh,papum pare,2022,2,117568
arunachal-pradesh,west kameng,2022,2,29424
arunachal-pradesh,changlang,2022,2,28495
arunachal-pradesh,east siang,2022,2,27240
arunachal-pradesh,lohit,2022,2,20325
arunachal-pradesh,tawang,2022,2,16475
arunachal-pradesh,west siang,2022,2,15231
arunachal-pradesh,namsai,2022,2,14887
arunachal-pradesh,lower dibang valley,2022,2,12040
arunachal-pradesh,lower subansiri,2022,2,11479
arunachal-pradesh,papum pare,2022,3,124095
arunachal-pradesh,west kameng,2022,3,30964
arunachal-pradesh,changlang,2022,3,29965
arunachal-pradesh,east siang,2022,3,28698
arunachal-pradesh,lohit,2022,3,21385
arunachal-pradesh,tawang,2022,3,17281
arunachal-pradesh,west siang,2022,3,16063
arunachal-pradesh,namsai,2022,3,15642
