Name,States,Transaction_Year,Quarters,Transaction_Type,Transaction_Count,Transaction_Amount
Financial Services,arunachal-pradesh,2019,3,TOTAL,864,64089.11350267195
Others,arunachal-pradesh,2019,3,TOTAL,2758,3419197.4177385764
Recharge & bill payments,arunachal-pradesh,2019,4,TOTAL,259183,63516906.09060433
Peer-to-peer payments,arunachal-pradesh,2019,4,TOTAL,177833,1100137447.9340453
Merchant payments,arunachal-pradesh,2019,4,TOTAL,19769,23192271.691576812
Financial Services,arunachal-pradesh,2019,4,TOTAL,314,305379.7987782319
Others,arunachal-pradesh,2019,4,TOTAL,2376,3421174.01227797
Recharge & bill payments,arunachal-pradesh,2020,1,TOTAL,329834,86011654.77474582
Peer-to-peer payments,arunachal-pradesh,2020,1,TOTAL,203429,1263912288.4066367
Merchant payments,arunachal-pradesh,2020,1,TOTAL,31181,28553052.133918796
Financial Services,arunachal-pradesh,2020,1,TOTAL,470,337812.94816169393
Others,arunachal-pradesh,2020,1,TOTAL,2261,2943873.0666838237
Recharge & bill payments,arunachal-pradesh,2020,2,TOTAL,522495,145198528.22961134
Peer-to-peer payments,arunachal-pradesh,2020,2,TOTAL,247861,1630654426.0441835
Merchant payments,arunachal-pradesh,2020,2,TOTAL,35169,46446966.612447515
Financial Services,arunachal-pradesh,2020,2,TOTAL,1310,2655507.6964110374
Others,arunachal-pradesh,2020,2,TOTAL,1939,1761404.4023099935
Recharge & bill payments,arunachal-pradesh,2020,3,TOTAL,514907,153463816.21184397
Peer-to-peer payments,arunachal-pradesh,2020,3,TOTAL,370418,2361603431.37578
Merchant payments,arunachal-pradesh,2020,3,TOTAL,72736,88145178.69272713
Financial Services,arunachal-pradesh,2020,3,TOTAL,1761,4030599.9171272423
Others,arunachal-pradesh,2020,3,TOTAL,3005,2695539.3607389224
Peer-to-peer payments,arunachal-pradesh,2020,4,TOTAL,522019,3254744938.4105625
Recharge & bill payments,arunachal-pradesh,2020,4,TOTAL,513895,152389181.21743062
