States,Pincodes,Transaction_Year,Quarters,Transaction_Type,Transaction_Count,Transaction_Amount
andhra-pradesh,west godavari,2022,1,TOTAL,5554647,9991176892.061853
andhra-pradesh,kurnool,2022,1,TOTAL,4513789,11365056779.562836
andhra-pradesh,prakasam,2022,1,TOTAL,4492155,9108501441.854177
andhra-pradesh,visakhapatnam,2022,2,TOTAL,18822839,40556750377.6809
andhra-pradesh,krishna,2022,2,TOTAL,12256092,29600523030.089485
andhra-pradesh,chittoor,2022,2,TOTAL,9320394,17071503296.033054
andhra-pradesh,guntur,2022,2,TOTAL,7667416,14863715364.820652
andhra-pradesh,east godavari,2022,2,TOTAL,7584902,19447767871.79056
andhra-pradesh,spsr nellore,2022,2,TOTAL,6470271,11522114399.303429
andhra-pradesh,anantapur,2022,2,TOTAL,6291639,12847256630.386038
andhra-pradesh,west godavari,2022,2,TOTAL,6073875,16041957319.95133
andhra-pradesh,kurnool,2022,2,TOTAL,5301338,10747157085.983915
andhra-pradesh,prakasam,2022,2,TOTAL,4927880,12452111307.590088
andhra-pradesh,visakhapatnam,2022,3,TOTAL,10427710,24452749355.343765
andhra-pradesh,krishna,2022,3,TOTAL,9028550,16685152652.27945
andhra-pradesh,chittoor,2022,3,TOTAL,7638906,14893051968.861427
andhra-pradesh,guntur,2022,3,TOTAL,6897466,17798259711.658493
andhra-pradesh,east godavari,2022,3,TOTAL,6608575,14799455202.072798
andhra-pradesh,anantapur,2022,3,TOTAL,6370783,17359205738.798397
andhra-pradesh,west godavari,2022,3,TOTAL,6352195,11280121649.92772
andhra-pradesh,spsr nellore,2022,3,TOTAL,6120942,12350133591.116642
andhra-pradesh,kurnool,2022,3,TOTAL,5372903,10801020194.878735
andhra-pradesh,prakasam,2022,3,TOTAL,5350632,13517253500.100548
andhra-pradesh,visakhapatnam,2022,4,TOTAL,10249750,23326515677.88234
andhra-pradesh,krishna,2022,4,TOTAL,9601016,17160601029.470804
andhra-pradesh,guntur,2022,4,TOTAL,8255182,15452889827.310287
andhra-pradesh,chittoor,2022,4,TOTAL,6770365,11575693176.866528
andhra-pradesh,east godavari,2022,4,TOTAL,6566772,12647557281.819908
andhra-pradesh,anantapur,2022,4,TOTAL,6419773,13879436431.018642
andhra-pradesh,west godavari,2022,4,TOTAL,5887349,11108836639.890686
andhra-pradesh,kurnool,2022,4,TOTAL,5810257,12488419884.161985
andhra-pradesh,spsr nellore,2022,4,TOTAL,5685286,14883019280.330643
andhra-pradesh,prakasam,2022,4,TOTAL,5545373,13027211098.677938
arunachal-pradesh,papum pare,2018,1,TOTAL,4253,8605127.65004581
