States,Transaction_Year,Quarters,Transaction_Type,Transaction_Count,Transaction_Amount
manipur,2019,3,TOTAL,345008,863552002.562933
maharashtra,2019,3,TOTAL,148735581,199617506744.94272
dadra & nagar haveli & daman & diu,2019,3,TOTAL,638751,961471473.8483732
meghalaya,2019,3,TOTAL,306550,612218602.153532
andaman & nicobar islands,2019,3,TOTAL,33770,114071776.08729392
haryana,2019,3,TOTAL,30343531,52489119199.44011
rajasthan,2019,3,TOTAL,67303617,112468290031.92343
ladakh,2019,3,TOTAL,92396,331129527.19382226
punjab,2019,3,TOTAL,10706812,22905815605.843315
assam,2019,3,TOTAL,5942571,12950443620.426579
jharkhand,2019,3,TOTAL,14220647,21465973993.35938
odisha,2019,3,TOTAL,41422272,57304577359.217094
bihar,2019,3,TOTAL,32139900,67692783254.273834
kerala,2019,3,TOTAL,9286096,16429809722.064445
karnataka,2019,3,TOTAL,170733735,214536720438.18292
chandigarh,2019,3,TOTAL,1506543,3269682087.6608405
telangana,2019,3,TOTAL,121495376,201930021130.42365
himachal pradesh,2019,3,TOTAL,2735180,5572018781.123304
west bengal,2019,3,TOTAL,66444829,70540532616.82985
gujarat,2019,3,TOTAL,38228649,59462694964.26753
sikkim,2019,3,TOTAL,552436,884716448.4404289
nagaland,2019,3,TOTAL,261878,650956471.7134112
mizoram,2019,3,TOTAL,98094,278793899.9513421
chhattisgarh,2019,3,TOTAL,12243111,19803259167.45372
jammu & kashmir,2019,3,TOTAL,1116526,3744230491.7824554
goa,2019,3,TOTAL,1092416,2000367191.496843
arunachal pradesh,2019,3,TOTAL,370234,912645034.7958709
delhi,2019,3,TOTAL,69537876,103196812046.45712
uttarakhand,2019,3,TOTAL,5710476,9729032070.017406
puducherry,2019,4,TOTAL,1012655,1932028317.878899
tamil nadu,2019,4,TOTAL,56596411,103190865512.53719
uttar pradesh,2019,4,TOTAL,86905005,145538926507.3059
madhya pradesh,2019,4,TOTAL,68131989,104687926790.86589
andhra pradesh,2019,4,TOTAL,107218103,200948315488.80518
tripura,2019,4,TOTAL,801824,1215400160.2581887
lakshadweep,2019,4,TOTAL,3765,11269913.40492385
manipur,2019,4,TOTAL,449344,1200897682.088641
maharashtra,2019,4,TOTAL,201260620,272994428799.5649
dadra & nagar haveli & daman & diu,2019,4,TOTAL,768971,1226641262.0110402
meghalaya,2019,4,TOTAL,365981,742436471.7902198
andaman & nicobar islands,2019,4,TOTAL,35159,136838530.5173779
haryana,2019,4,TOTAL,37825985,69359719869.10008
rajasthan,2019,4,TOTAL,85074242,159452410049.68317
ladakh,2019,4,TOTAL,84706,324689360.02811134
